student_id,stop_id,attendance_probability,weekday,expected_attendance,name,grade,is_active
STU0001,S001,0.65,all,0.65,Farida Pillai,4,True
STU0002,S001,0.65,all,0.65,Chetan Singh,9,True
STU0003,S001,0.73,all,0.73,Aarav Patel,4,True
STU0004,S001,0.7,all,0.7,Esha Das,10,True
STU0005,S001,0.71,all,0.71,Sanjana Sen,7,True
STU0006,S001,0.67,all,0.67,Esha Chandra,10,True
STU0007,S001,0.63,all,0.63,Yamini Gupta,7,True
STU0008,S001,0.82,all,0.82,Hema Rao,3,True
STU0009,S002,0.59,all,0.59,Bhavya Patel,7,True
STU0010,S002,0.69,all,0.69,Bhavya Iyer,6,True
STU0011,S002,0.44,all,0.44,Vikas Chandra,9,True
STU0012,S002,0.47,all,0.47,Bhavya Krishnan,2,True
STU0013,S002,0.42,all,0.42,Rahul Iyer,10,True
STU0014,S002,0.51,all,0.51,Dhruv Patel,1,True
STU0015,S002,0.49,all,0.49,Arjun Pillai,2,True
STU0016,S002,0.44,all,0.44,Jaya Rao,8,True
STU0017,S002,0.51,all,0.51,Ishaan Iyer,4,True
STU0018,S002,0.5,all,0.5,Tarun Rao,2,True
STU0019,S003,0.81,all,0.81,Vikas Pillai,3,True
STU0020,S003,0.82,all,0.82,Lakshmi Krishnan,5,True
STU0021,S003,0.96,all,0.96,Om Pillai,6,True
STU0022,S003,0.84,all,0.84,Anil Kumar,4,True
STU0023,S003,0.91,all,0.91,Jaya Rao,2,True
STU0024,S003,0.72,all,0.72,Dhruv Mukherjee,6,True
STU0025,S003,0.87,all,0.87,Chitra Chandra,3,True
STU0026,S003,0.94,all,0.94,Farida Verma,4,True
STU0027,S003,0.85,all,0.85,Vikas Mukherjee,7,True
STU0028,S003,0.75,all,0.75,Chitra Mukherjee,7,True
STU0029,S003,0.67,all,0.67,Chetan Das,8,True
STU0030,S003,1.0,all,1.0,Arjun Kumar,2,True
STU0031,S003,0.88,all,0.88,Tarun Reddy,10,True
STU0032,S003,0.89,all,0.89,Arjun Krishnan,7,True
STU0033,S004,0.55,all,0.55,Farida Sen,1,True
STU0034,S004,0.57,all,0.57,Tarun Singh,9,True
STU0035,S004,0.62,all,0.62,Hema Singh,5,True
STU0036,S004,0.48,all,0.48,Karan Gupta,8,True
STU0037,S004,0.75,all,0.75,Vikas Rao,9,True
STU0038,S004,0.62,all,0.62,Yamini Gupta,9,True
STU0039,S004,0.76,all,0.76,Gautam Das,10,True
STU0040,S004,0.54,all,0.54,Dhruv Verma,6,True
STU0041,S004,0.63,all,0.63,Yamini Das,1,True
STU0042,S004,0.52,all,0.52,Rahul Menon,8,True
STU0043,S004,0.8,all,0.8,Chitra Rajan,4,True
STU0044,S004,0.64,all,0.64,Aditi Pillai,10,True
STU0045,S004,0.65,all,0.65,Manish Patel,9,True
STU0046,S004,0.61,all,0.61,Yamini Verma,3,True
STU0047,S004,0.52,all,0.52,Deepa Rao,9,True
STU0048,S004,0.46,all,0.46,Brinda Joshi,7,True
STU0049,S005,0.89,all,0.89,Yamini Nair,5,True
STU0050,S005,0.67,all,0.67,Jaya Iyer,8,True
STU0051,S005,0.78,all,0.78,Esha Pillai,2,True
STU0052,S005,0.66,all,0.66,Hema Sharma,10,True
STU0053,S005,0.61,all,0.61,Aarav Patel,1,True
STU0054,S006,0.56,all,0.56,Esha Patel,1,True
STU0055,S006,0.62,all,0.62,Esha Rao,8,True
STU0056,S006,0.58,all,0.58,Dhruv Sen,3,True
STU0057,S006,0.57,all,0.57,Priya Bose,4,True
STU0058,S006,0.44,all,0.44,Zara Bose,7,True
STU0059,S006,0.61,all,0.61,Karan Iyer,7,True
STU0060,S006,0.63,all,0.63,Karan Chandra,1,True
STU0061,S006,0.49,all,0.49,Bhavya Kumar,7,True
STU0062,S006,0.4,all,0.4,Vikas Menon,2,True
STU0063,S006,0.6,all,0.6,Lakshmi Verma,7,True
STU0064,S006,0.65,all,0.65,Deepa Rao,8,True
STU0065,S006,0.6,all,0.6,Lakshmi Sen,2,True
STU0066,S007,0.89,all,0.89,Aditi Sen,1,True
STU0067,S007,0.89,all,0.89,Brinda Pillai,3,True
STU0068,S007,0.67,all,0.67,Karan Bose,8,True
STU0069,S007,0.73,all,0.73,Aditi Gupta,7,True
STU0070,S007,0.79,all,0.79,Aarav Krishnan,5,True
STU0071,S007,0.84,all,0.84,Gautam Reddy,9,True
STU0072,S007,0.65,all,0.65,Tarun Bose,3,True
STU0073,S007,0.73,all,0.73,Aditi Mukherjee,9,True
STU0074,S007,0.76,all,0.76,Aditi Menon,1,True
STU0075,S007,0.8,all,0.8,Brinda Das,3,True
STU0076,S007,0.74,all,0.74,Aditi Das,2,True
STU0077,S007,0.73,all,0.73,Arjun Pillai,7,True
STU0078,S007,0.69,all,0.69,Bhavya Mukherjee,4,True
STU0079,S007,0.69,all,0.69,Arjun Reddy,10,True
